id,tweet,0,1,2,3,4
22,"Migrants Fleeing Hungary Start a Long March Toward Germany: At least 500 people set out from a Budapest train station, while European...",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Nazi_Germany,,,
23,"RT @AlArabiya_Eng: BREAKING: 280,000 #refugees arrive in #Germany in September 2015: Bavaria minister",http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Bavaria,,,
25,RT @Channel4News: #RefugeeCrisis: Hundreds begin march to Austria - @mattfrei @NanettevdLaan @daibaker  ,http://dbpedia.org/resource/Austria,,,,
26,#MigrantCrisis: Nearly quarter million #refugees arrive in Germany in September  ,http://dbpedia.org/resource/Nazi_Germany,,,,
28,"RT @mims: 60,000 refugees are reportedly traveling to Hungary ",http://dbpedia.org/resource/Hungary,,,,
30,"RT @ReactionaryTree: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
31,"RT @panyiszabolcs: 8000 #refugees arrived to #Hungary on Friday, some 3-4,000 were brought to the #Austria-n border. I don't see where&amp;when…",http://dbpedia.org/resource/Hungary,,,,
32,"RT @Refugees: ""Being in Austria feels like being at home."" Majed, from Damascus, Syria, walked 10 hours from Budapest ",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Damascus,http://dbpedia.org/resource/Syria,http://dbpedia.org/resource/Budapest,
33,"RT @IndyWorld: Austria to close borders to refugees again after 12,000 arrive from Hungary in just 48 hours ",http://dbpedia.org/resource/Hungary,,,,
34,"RT @enough14: 1651 Banner #refugeeswelcome demo #Dortmund #Germany: ""Solidarity w/o borders instead of selective nationalism"" #w2do ",http://dbpedia.org/resource/Dortmund,http://dbpedia.org/resource/Nazi_Germany,,,
35,"RT @INCWorldAgency: #Syria | #BREAKING : AFP : #German police expect up to 7,000 migrants to arrive from #Hungary on Saturday ",http://dbpedia.org/resource/Syria,http://dbpedia.org/resource/Hungary,,,
36,"#nbcnews Estimated 8,000 Migrants and Refugees Arrive in Germany: The last train arrived carrying a...  #usa #news",http://dbpedia.org/resource/Nazi_Germany,,,,
37,"RT @Amaka_Ekwo: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
38,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
39,"RT @CasMudde: 1) Hungarian refugees walking to #Austria in 1956
2) Syrian #refugees walking from #Hungary to Austria in 2015 ",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,,
40,"RT @AJENews: About 2,000 refugees have arrived at Austria's border from Hungary  ",http://dbpedia.org/resource/Hungary,,,,
41,"#germany closed borders. On Saturday alone, 13,015 migrants arrived from #Austria.1,400 new arrivals came on Sunday. #flüchtlinge #refugees",http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Austria,,,
42,"RT @RedHotSquirrel: Of 102,342 migrants entering #Hungary, 29% came from Afghanistan and 23% from Kosovo.Frontex/Economist Jan-Jun 2015",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Afghanistan,,,
43,"RT @Refugees: As dusk sets in, hundreds of refugees have decided to walk from #Hungary to #Austria. #Europe ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Europe,,
44,"RT @bouckap: Literally thousands of #SyrianRefugees &amp; other asylum seekers defiantly walking out of inhospitable #Hungary, heading 2 #Austr…",http://dbpedia.org/resource/Hungary,,,,
45,RT @balazscseko: #refugeeconvoy starting now from #Vienna Hundreds of cars heading to #Hungary #refugeeswelcome ,http://dbpedia.org/resource/Vienna,http://dbpedia.org/resource/Hungary,,,
46,RT @MSNBC: Hundreds of migrants stopped at Hungary rail station:,http://dbpedia.org/resource/Hungary,,,,
47,RT @TMoens: Over 17.000 refugees crossed into Croatia since Hungary closed its border with Serbia. Another 40.000 expected over the weekend.,http://dbpedia.org/resource/Croatia,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Serbia,,
48,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
49,Hundreds of migrants march wrong way down the motorway in Hungary  via @MailOnline,http://dbpedia.org/resource/Hungary,,,,
50,RT @bouckap: Hundreds of #SyrianRefugees have begun walking defiantly from Budapest towards #Austria. #Hungarian Gov acted absolutely despi…,http://dbpedia.org/resource/Budapest,,,,
51,#BREAKING Around 20 buses of migrants reach Croatia's border with Hungary: AFP,http://dbpedia.org/resource/Croatia,http://dbpedia.org/resource/Hungary,,,
52,RT @BBCWorld: Hundreds of migrants leave Budapest station &amp; start walking for the Austrian border  ,http://dbpedia.org/resource/Budapest,,,,
53,RT @ahomii: Austria have my respect for accepting migrants from Mid East who travel 30 days thru dangerous Hungary that now they can leave …,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,,,
54,"RT @fubaglady: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
55,Migrants protest in Budapest as Hungary blocks westbound travel for second day: Hundreds of migrants cha...  #News,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Hungary,,,
56,"ALERT: Approximately 450 migrants on board special train from Hungary arrived in Munich, German police say - Reuters …",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Munich,,,
57,RT @RT_com: Half a million refugees could arrive in Hungary this year – govt minister  ,http://dbpedia.org/resource/Hungary,,,,
58,Germany said it expects to take in 800000 immigrants this year Its not a #immigration its a #invasion When they realize its gonna be 2 late,http://dbpedia.org/resource/Germany,,,,
59,RT @RT_com: URGENT: 19 Croatian buses full of #migrants seen arriving at #Hungary's border; not allowed to cross - @AP ,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Andhra_Pradesh,,,
60,"RT @Guilhotinainfo: #Germany Another #refugee center burnt, 5 wounded. 200 attacks in first 6 months this year  ",http://dbpedia.org/resource/Nazi_Germany,,,,
61,"RT @bouckap: At least 600 more have arrived at #Hungary border w #Serbia this morning, mostly #SyrianRefugees ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Serbia,,,
62,"RT @BBCBreaking: Second group of 1,000 migrants leaves main station in Hungarian capital, Budapest, on foot for Austrian border ",http://dbpedia.org/resource/Budapest,,,,
63,Unos 6.000 inmigrantes podrían llegar este domingo a Austria ,http://dbpedia.org/resource/Austria,,,,
64,RT @TRobinsonNewEra: Estonian reporter recognizes #AlQaeda terrorist he interviewed 2 yrs ago among #RefugeesWelcome en route to Germany. h…,http://dbpedia.org/resource/Nazi_Germany,,,,
65,"RT @UKolizer: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence  ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
66,RT @CTVNews: Hungary offers buses as hundreds of refugees march to border with Austria  ,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,,,
67,"RT @NBCNews: 'No limits': Germany opens borders to 7,000 migrants and refugees   ",http://dbpedia.org/resource/Nazi_Germany,,,,
68,RT @aqbyrne: What now for more than 2000 migrants who arrived in Hungary yday &amp; more to come? Relief buses stopped. Tougher border measures…,http://dbpedia.org/resource/Hungary,,,,
69,RT @BBCNews: Hundreds of migrants leave Budapest station &amp; start walking for the Austrian border  ,http://dbpedia.org/resource/Budapest,,,,
70,"RT @bopanc: Austrian authorities estimate that 100,000 migrants are racing to enter the country before Hungary seals its border tomorrow #r…",http://dbpedia.org/resource/Hungary,,,,
71, 'One million refugees' may arrive in Germany this… ,http://dbpedia.org/resource/Germany,,,,
72,RT @En_French_Coach: Hundreds of#refugees begin long march to#Austria from #Budapest #refugeecrisis #MigrantMarch #migrantcrisis #Hungary h…,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Hungary,,
73,"RT @gmanews: JUST IN: Hungary says 10,046 migrants entered Wednesday, new record | via @AFP",http://dbpedia.org/resource/Hungary,,,,
74,"RT @AFP: #BREAKING: Hungary says 10,046 migrants entered Wednesday, new record",http://dbpedia.org/resource/Hungary,,,,
75,"RT @quilombosfera: Más de 20.000 personas hoy en la marcha #refugeeswelcome en Viena, Austria. Bravo!  ",http://dbpedia.org/resource/Austria,,,,
76,#niiyomall_5days2go Migrants defy Hungary police lines: Hundreds of migrants break through police lines in Hun...  ,http://dbpedia.org/resource/Hungary,,,,
77,Germany &amp; Austria to allow #RefugeeMarch to cross their borders. I'll have the latest on #refugeecrisis in 10 min on @BBCWorld &amp; @BBCWorld,http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Austria,,,
78,RT @TRobinsonNewEra: Estonian reporter recognizes #AlQaeda terrorist he interviewed 2 yrs ago among #RefugeesWelcome en route to Germany. h…,http://dbpedia.org/resource/Nazi_Germany,,,,
79,"RT @Amaka_Ekwo: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
80,"RT @coldwar20_en: 🇩🇪
More than 230000 mostly male #refugees arrived in Germany in last 3 weeks. 10000 each day. This is not an invasion htt…",http://dbpedia.org/resource/Nazi_Germany,,,,
81,#retweet: RT AJENews: 'One million refugees' may arrive in Germany this year  ,http://dbpedia.org/resource/Nazi_Germany,,,,
82,Migrants Crisis: ‘One Million Refugees’ May Arrive Germany This Year: One million people may arrive in Germany... ,http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Nazi_Germany,,,
83,"RT @Independent: Austria to close borders again after 12,000 refugees enter from Hungary in 48 hours  ",http://dbpedia.org/resource/Hungary,,,,
84,"RT @coinabs: #BULGARIA finds 10,000 #Fake Passports hidden by #Muslim refugees heading for #Germany

PASSPORTS FOR #TERRORISTS ",http://dbpedia.org/resource/Bulgaria,http://dbpedia.org/resource/Nazi_Germany,,,
85,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
86,"RT @Kriszti_Bolczek: Deputy police spox: 366 409 migrants have arrived in #Hungary this year. There r 3 transit zones, 1500 ppl could stay …",http://dbpedia.org/resource/Hungary,,,,
87,"RT @STForeignDesk: A total of 12,220 migrants enter Austria in 36 hours 
 ",http://dbpedia.org/resource/Austria,,,,
88,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
89,"VIDEO: Hungary 'in no hurry to close borders': Of the 180,000 refugees and migrants who entered Germany in Sep... ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Nazi_Germany,,,
90,"RT @panyiszabolcs: HUN-CRO border fence basically stopped the influx to #Hungary. Fri: 6,352, Sat: 870, Sun: only 41 #refugees entered. htt…",http://dbpedia.org/resource/Hungary,,,,
91,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
92,RT @JuanMazaCalleja: Anti #refugee protest walking through #gorlitz Germany. Around 2000 people gathered ,http://dbpedia.org/resource/Gorlice,http://dbpedia.org/resource/Nazi_Germany,,,
93,RT @En_French_Coach: Hundreds of#refugees begin long march to#Austria from #Budapest #refugeecrisis #MigrantMarch #migrantcrisis #Hungary h…,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Hungary,,
94,An expected 1.5 million asylum seekers will enter Germany this year. What its like inside a German Refugee Center: ,http://dbpedia.org/resource/Nazi_Germany,,,,
95,RT @En_French_Coach: Hundreds of#refugees begin long march to#Austria from #Budapest #refugeecrisis #MigrantMarch #migrantcrisis #Hungary h…,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Hungary,,
96,"RT @panyiszabolcs: HUN-CRO border fence basically stopped the influx to #Hungary. Fri: 6,352, Sat: 870, Sun: only 41 #refugees entered. htt…",http://dbpedia.org/resource/Hungary,,,,
97,"RT @DictatorHitler: Hundreds of refugees, fleeing violence in their own country, arrived in Germany today.

On various flights from America.",http://dbpedia.org/resource/Nazi_Germany,,,,
98,RT alexfenyvesi #Hungary - 105-year-old Afghan immigrant arrived in Europe: One hundred and five-year-old Afghan i… ,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Europe,,,
99,"The Latest: 2,000 migrants headed toward Austria in 4 trains: Teen critically hurt in high-speed crash in S.F.... ",http://dbpedia.org/resource/Austria,,,,
100,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
101,RT @lars_scho: Stop-and-go at #Sentilj border crossing from #Slovenia into #Austria: Only 150 #refugees at a time #refugeecrisis ,http://dbpedia.org/resource/Slovenia,http://dbpedia.org/resource/Austria,,,
102,"About 3,300 migrants entered Slovenia on Saturday following closure of Hungarian border with Croatia:  …",http://dbpedia.org/resource/Slovenia,http://dbpedia.org/resource/Croatia,,,
103,RT @En_French_Coach: Hundreds of#refugees begin long march to#Austria from #Budapest #refugeecrisis #MigrantMarch #migrantcrisis #Hungary h…,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Hungary,,
104,"While last month up to 10,000 migrants a day illegally crossed into Hungary.",http://dbpedia.org/resource/Hungary,,,,
105,"RT @brijoyce: German Police: ""no idea"" who is entering the country. 15,000 migrants entering Germany every day ",http://dbpedia.org/resource/Nazi_Germany,,,,
106,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
107,"RT @UNrefugees: Hungary closes its border, 19,500 people enter Slovenia #europe #refugees  ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Slovenia,,,
108,"RT @SueWhitaker11: @TRobinsonNewEra Estimated 290,000 migrants have entered Germany illegally, haven't been registered &amp; whereabouts unknow…",http://dbpedia.org/resource/Nazi_Germany,,,,
110,"RT @tconnellyRTE: Austrian Red Cross official Gerry Foitik, speaking at Nickelsdorf, says 12,000 refugees have now crossed from Hungary int…",http://dbpedia.org/resource/Nickelsdorf,http://dbpedia.org/resource/Hungary,,,
111,RT @chafahi: 18 yr old Afghan man has pushed his grandmother in a wheelchair from Afghanistan to Hungary #refugees ,http://dbpedia.org/resource/Afghanistan,http://dbpedia.org/resource/Hungary,,,
112,"RT @Amaka_Ekwo: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
113,"RT @ianbremmer: Refugees Walking to Austria
Hungarians in 1956
Syrians in 2015 ",http://dbpedia.org/resource/Austria,,,,
114,"RT @inglesi: Austrian police say nearly 10,000 refugees &amp; migrants arrived on Monday, mainly thru #Hegyeshalom - via @BethanyBellBB",http://dbpedia.org/resource/Hegyeshalom,,,,
115,"35,000 refugees have now entered Croatia; 6,200 have left the Opatovac tent settlement for Hungary, government says… ",http://dbpedia.org/resource/Croatia,"http://dbpedia.org/resource/Opatovac,_Vukovar-Srijem_County",http://dbpedia.org/resource/Hungary,,
116,RT @BBCNews: Hundreds of migrants leave Budapest station &amp; start walking for the Austrian border  ,http://dbpedia.org/resource/Budapest,,,,
117,"RT @YanniKouts: #Germany | More than 15,500 refugees have arrived in Munich from Austria and Hungary  /via @tagesscha…",http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Munich,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,
118,"RT @cctvnews: Austrian police: 2,000 refugees have arrived at country's border from Hungary, numbers may double throughout the day ",http://dbpedia.org/resource/Hungary,,,,
119,Video: Hungarian military arrives at Beremend border crossing with hundreds of migrants expected from Croatia soon - Stone_SkyNews,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Croatia,,,
120,RT @HuffingtonPost: Hundreds of migrants protest Hungary travel ban as more die at sea  ,http://dbpedia.org/resource/Hungary,,,,
121,"RT @Chara_fc: #SyrianRefugees walk towards the Austrian border in #Hegyeshalom, #Hungary, September 26 ",http://dbpedia.org/resource/Hegyeshalom,http://dbpedia.org/resource/Hungary,,,
122,RT @AP: BREAKING: 19 Croatian buses full of migrants seen arriving at Hungary's border; not allowed to cross.,http://dbpedia.org/resource/Andhra_Pradesh,http://dbpedia.org/resource/Hungary,,,
123,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
124,"RT @BBCWorld: Hundreds of migrants leave Budapest on foot intent on walking to Austrian border 
 ",http://dbpedia.org/resource/Budapest,,,,
125,"RT @panyiszabolcs: 18,757 #refugees entered this weekend #Hungary according to HUN police. Daily numbers here:  ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Huns,,,
126,"THEY HAVE BROKE INTERNATIONAL LAW! Hundreds of migrants march wrong way down the motorway in Hungary
  via @MailOnline",http://dbpedia.org/resource/Hungary,,,,
127,"RT @ianbremmer: Refugees Walking to Austria
Hungarians in 1956
Syrians in 2015 ",http://dbpedia.org/resource/Austria,,,,
128,"Some 2,000 refugees arrive at Austria's border from Hungary - Austrian police: VIENNA (Reuters) - Around 2,000 refugees have arrived ...",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Vienna,,
129,"RT @NickBarnets: Is #Germany still planning to accept 800,000 #refugees this year? Still much less than that have entered #Europe this year…",http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Europe,,,
130,RT @NewsRevo #Hungary: 1000 #refugees marching from #Budapest to #Austria on highway M1 #MarchOfHope via @panyiszabolcs #rbnews,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/M1_motorway,
132,"RT @NBCNews: 'No limits': Germany opens borders to 7,000 migrants and refugees   ",http://dbpedia.org/resource/Nazi_Germany,,,,
133,Hungary sends buses to transport migrants to the border with Austria after hundreds began the long walk there from Budapest.,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Budapest,,
134,"RT @nytimesworld: “Nothing but death will stop us,” said 1 of about 1,000 migrants who are walking to Germany  ",http://dbpedia.org/resource/Nazi_Germany,,,,
135,RT @indexhu: 1500 #refugees are headed towards #Nagykanizsa from #Gyekenyes on foot. Escorted by #hungarian #police #refugeecrisis ,http://dbpedia.org/resource/Nagykanizsa,,,,
136,"RT @CasMudde: 1) Hungarian refugees walking to #Austria in 1956
2) Syrian #refugees walking from #Hungary to Austria in 2015 ",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,,
137,"RT @coinabs: #BULGARIA finds 10,000 #FAKE #PASSPORTS hidden by #Muslim refugees heading for #GERMANY

#PASSPORTS FOR #TERRORISTS ",http://dbpedia.org/resource/Bulgaria,http://dbpedia.org/resource/Nazi_Germany,,,
138,RT @nytimes: Nearly 5000 migrants arrived in Austria on Saturday after Hungary helped them travel in safety  ,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,,,
139,RT @sakirkhader: Hundreds of refugees warmly welcomed by the crowd as they arrived in #Austria last night. ,http://dbpedia.org/resource/Austria,,,,
140,"RT @Daily_Express: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence  ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
141,"#AlArabiya_Eng 450,000 refugees arrived in Germany since January: Germany's vice chancellor also said Berlin i... ",http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Nazi_Germany,,,
142,"RT @Mortarion74: 35 MILLION migrants heading to Europe, says Hungary as it builds second fence ",http://dbpedia.org/resource/Europe,http://dbpedia.org/resource/Hungary,,,
143,"RT @BalkanNewsbeat: Hundreds of #refugees hoping to reach Austria still awaiting trains and buses as rain threatens at #Tovarnik, Croatia h…",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Tovarnik,http://dbpedia.org/resource/Croatia,,
144,NewsRevo : RT bm0eu: More than 60 buses brought refugees from #Keleti to Austria. The atmo…  ,http://dbpedia.org/resource/Austria,,,,
145,"RT @SputnikInt: More are yet to come: some 3,500 #refugees arrive in Germany in 1 day  #MigrantCrisis ",http://dbpedia.org/resource/Nazi_Germany,,,,
146,"Hundreds of migrants protest at Budapest station, want to go to Germany ",http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Germany,,,
147,"#TeamYamita Thousands of Migrants Reach Austria as New Groups Set Off: Nearly 5,000 exhaus...  Unete A #TeamYamita",http://dbpedia.org/resource/Austria,,,,
148,RT @jakpost: Hundreds of migrants on new march in Hungary ,http://dbpedia.org/resource/Hungary,,,,
149,"RT @panyiszabolcs: 1,000 #refugees, #migrants in #Budapest crossed the Danube, on their way to #Austria. Flw us:  htt…",http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Danube,http://dbpedia.org/resource/Austria,,
151,"RT @TRobinsonNewEra: Over 800,000 (fake) Muslim refugees arrived in Germany in 2015,abt 100,000 in August alone. Germanistan not far off. h…",http://dbpedia.org/resource/Nazi_Germany,,,,
152,RT @chafahi: 18 yr old Afghan man has pushed his grandmother in a wheelchair from Afghanistan to Hungary #refugees ,http://dbpedia.org/resource/Afghanistan,http://dbpedia.org/resource/Hungary,,,
153,"RT @MigSzolCsop: 250 #refugees left to walk on M1 from the #Bicske this morning - nono, this is not over yet! #Hungary #RefugeeMarch #refug…",http://dbpedia.org/resource/M1_motorway,http://dbpedia.org/resource/Bicske,http://dbpedia.org/resource/Hungary,,
154,"RT @VinegarStrokes: Hundreds of migrants march wrong way down the motorway in Hungary
  via @MailOnline",http://dbpedia.org/resource/Hungary,,,,
155,RT @cctvnews: Hungary shuts down Budapest’s main train station as hundreds of migrants try to board trains for Austria and Germany ,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Nazi_Germany,
156,RT @AhmetHusnuKoray: @BBCBreaking Hungarian Refugees walking to Austria in 1956 ,http://dbpedia.org/resource/Austria,,,,
157,"CHPSRE: RT: Refugees: Hundreds, like this little one, arrived in Austria very late, but are well rested after a ni… ",http://dbpedia.org/resource/Austria,,,,
158,"@PatrickKingsley 20 busses are leaving Belgrad with refugees within the next hour, heading to the Hungarian border.",http://dbpedia.org/resource/Belgrade,,,,
159,"RT @CourtA: ""feels good to have these special passengers on board"" says train driver Gabor, 37, from Hungary #refugeeswelcome ",http://dbpedia.org/resource/Hungary,,,,
160,"RT @b9AcE: More pictures of the hundreds of refugees that walked from Hegyeshalom to Austria.
Christopher Furlong/Getty ",http://dbpedia.org/resource/Hegyeshalom,http://dbpedia.org/resource/Austria,,,
161,RT @Volksburo: Estonian reporter recognizes #AlQaeda terrorist he interviewed 2 yrs ago among #RefugeesWelcome en route to Germany. ,http://dbpedia.org/resource/Nazi_Germany,,,,
162,'One million refugees' may arrive in Germany this year: German vice chancellor said that Germany… ,http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Nazi_Germany,,,
163,RT @BBCMatthewPrice: Nervous refugees in Hungary. Deal is 1 bus goes to border. When it's across they will be called and told it's not a tr…,http://dbpedia.org/resource/Hungary,,,,
164,"RT @Refugees: As dusk sets in, hundreds of refugees have decided to walk from #Hungary to #Austria. #Europe ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Europe,,
165,"RT @youranonfactz: [Breaking] Some 8,000 Migrants Reach Germany After Ordeal: Thousands of refugees are given food, drink an... ",http://dbpedia.org/resource/Nazi_Germany,,,,
166,"RT @Conflicts: Left - Hungarian refugees walking to Austria in 1956

Right - Syrian refugees walking from #Hungary to #Austria 2015 ",http://dbpedia.org/resource/Hungary,,,,
